Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),4.5553E+14,3.9664E+13,0.0000E+00,5.1924E+13,4.6407E+14,4.9123E+14,,
coal (BTU),9.9060E+14,0.0000E+00,0.0000E+00,0.0000E+00,5.1942E+13,0.0000E+00,,
natural gas (BTU),2.0900E+14,0.0000E+00,0.0000E+00,0.0000E+00,3.8436E+13,0.0000E+00,,
petroleum diesel (BTU),6.3999E+12,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
heat (BTU),7.7854E+13,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
biomass (BTU),4.6336E+13,0.0000E+00,0.0000E+00,0.0000E+00,6.5641E+13,0.0000E+00,,
kerosene (BTU),9.4177E+12,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
heavy or residual fuel oil (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
LPG propane or butane (BTU),1.0719E+14,0.0000E+00,0.0000E+00,0.0000E+00,1.9310E+14,0.0000E+00,,
hydrogen (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
