,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),1.11E+15,4.78E+13,5.03E+13,5.42E+13,5.96E+13,6.02E+13,6.35E+13,6.68E+13,7.26E+13,7.61E+13,7.95E+13,8.29E+13,8.62E+13,8.95E+13,9.28E+13,9.60E+13,9.91E+13,1.02E+14,1.05E+14,1.08E+14,1.11E+14,1.14E+14,1.17E+14,1.20E+14,1.22E+14,1.25E+14,1.28E+14,1.30E+14,1.32E+14,1.35E+14,1.37E+14,1.39E+14,1.41E+14,1.43E+14,1.45E+14,1.47E+14,1.49E+14,1.50E+14,1.52E+14,1.53E+14,1.55E+14,1.56E+14,1.57E+14
coal (BTU),0.00E+00,3.41E+12,2.65E+12,2.37E+12,2.11E+12,1.78E+12,1.83E+12,1.87E+12,1.91E+12,1.95E+12,1.99E+12,2.03E+12,2.07E+12,2.11E+12,2.15E+12,2.20E+12,2.24E+12,2.28E+12,2.30E+12,2.32E+12,2.34E+12,2.36E+12,2.38E+12,2.38E+12,2.39E+12,2.40E+12,2.40E+12,2.41E+12,2.41E+12,2.41E+12,2.41E+12,2.41E+12,2.41E+12,2.40E+12,2.38E+12,2.36E+12,2.35E+12,2.33E+12,2.31E+12,2.29E+12,2.27E+12,2.25E+12,2.23E+12
natural gas (BTU),0.00E+00,1.31E+15,1.49E+15,1.58E+15,1.57E+15,1.63E+15,1.68E+15,1.72E+15,1.76E+15,1.79E+15,1.83E+15,1.87E+15,1.90E+15,1.94E+15,1.98E+15,2.02E+15,2.06E+15,2.10E+15,2.11E+15,2.13E+15,2.15E+15,2.17E+15,2.18E+15,2.19E+15,2.19E+15,2.20E+15,2.20E+15,2.21E+15,2.21E+15,2.21E+15,2.21E+15,2.21E+15,2.22E+15,2.20E+15,2.18E+15,2.17E+15,2.15E+15,2.14E+15,2.12E+15,2.10E+15,2.08E+15,2.06E+15,2.05E+15
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),0.00E+00,9.28E+14,9.44E+14,9.13E+14,8.59E+14,7.63E+14,7.83E+14,8.03E+14,8.20E+14,8.36E+14,8.53E+14,8.71E+14,8.88E+14,9.06E+14,9.23E+14,9.41E+14,9.59E+14,9.78E+14,9.86E+14,9.94E+14,1.00E+15,1.01E+15,1.02E+15,1.02E+15,1.02E+15,1.03E+15,1.03E+15,1.03E+15,1.03E+15,1.03E+15,1.03E+15,1.03E+15,1.03E+15,1.03E+15,1.02E+15,1.01E+15,1.01E+15,9.98E+14,9.89E+14,9.81E+14,9.72E+14,9.63E+14,9.55E+14
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
